channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-0.08529198169708252,0.09359431266784668,0.060717225074768066,-0.14880824089050293,-0.092894673347473145,-0.082080483436584473,-0.057320117950439453,-1.0,1408224236.489057,0
-0.08394777774810791,0.094277739524841309,0.057482004165649414,-0.20115029811859131,-0.12090754508972168,-0.079629302024841309,-0.05591738224029541,-1.0,1408224236.493117,0
-0.071932077407836914,0.097403407096862793,0.097317218780517578,-0.13195478916168213,-0.068172335624694824,-0.070560693740844727,-0.047423958778381348,-0.99999439716339111,1408224236.497135,0
-0.071672558784484863,0.097107768058776855,0.10577499866485596,-0.071025848388671875,-0.033389925956726074,-0.071860074996948242,-0.047588348388671875,-0.9816584587097168,1408224236.501116,0
-0.083693027496337891,0.093960285186767578,0.06695091724395752,-0.1329268217086792,-0.081838011741638184,-0.081040263175964355,-0.05617213249206543,-1.0,1408224236.505099,0
-0.085531711578369141,0.093835353851318359,0.053487181663513184,-0.20213890075683594,-0.12287187576293945,-0.080904841423034668,-0.057175636291503906,-1.0,1408224236.509072,0
-0.073736190795898438,0.09696352481842041,0.090701103210449219,-0.14918792247772217,-0.079549551010131836,-0.07169950008392334,-0.04860389232635498,-1.0,1408224236.514105,0
-0.070423722267150879,0.097461700439453125,0.10889744758605957,-0.073556423187255859,-0.033017158508300781,-0.070705890655517578,-0.04655909538269043,-0.98109650611877441,1408224236.518101,0
-0.081820249557495117,0.094377756118774414,0.073863029479980469,-0.11724817752838135,-0.070542216300964355,-0.079863548278808594,-0.05496370792388916,-1.0,1408224236.521971,0
-0.086588025093078613,0.093507170677185059,0.051200509071350098,-0.19873154163360596,-0.12189006805419922,-0.082027792930603027,-0.058089733123779297,-1.0,1408224236.526165,0
-0.075750231742858887,0.09648740291595459,0.08340609073638916,-0.16566824913024902,-0.090911507606506348,-0.073135614395141602,-0.050088405609130859,-1.0,1408224236.530063,0
-0.069642305374145508,0.097751379013061523,0.11011707782745361,-0.080482125282287598,-0.035750508308410645,-0.06980288028717041,-0.045892119407653809,-0.98260152339935303,1408224236.53415,0
-0.079724431037902832,0.09494936466217041,0.081379175186157227,-0.10280323028564453,-0.05960381031036377,-0.078255772590637207,-0.053330421447753906,-1.0,1408224236.538087,0
-0.08711540699005127,0.0933380126953125,0.051020145416259766,-0.19109296798706055,-0.11781418323516846,-0.082630157470703125,-0.058439254760742188,-1.0,1408224236.541986,0
-0.077951908111572266,0.095949649810791016,0.075999975204467773,-0.18018269538879395,-0.10127496719360352,-0.074708104133605957,-0.051648974418640137,-1.0,1408224236.546032,0
-0.069466471672058105,0.097883105278015137,0.10934960842132568,-0.09116363525390625,-0.041272282600402832,-0.069365024566650391,-0.045769095420837402,-0.98603641986846924,1408224236.55012,0
